stid,station_name,lat,lon,elev,begints,endts,iem_network
LDDU,Dubrovnik,42.5628,18.27,165,1996-01-01 00:00,,HR__ASOS
LDLO,Mali Losinj,44.5658,14.3931,46,2004-05-10 00:00,,HR__ASOS
LDOS,Osijek,45.4627,18.8102,89,1973-01-05 00:00,,HR__ASOS
LDPL,Pula,44.8964,13.9319,63,1996-01-31 00:00,,HR__ASOS
LDRI,Rijeka,45.2169,14.5703,85,1996-05-01 00:00,,HR__ASOS
LDSB,Brac,43.2857,16.6797,542,2004-08-10 00:00,,HR__ASOS
LDSP,Split,43.5394,16.3011,21,1996-01-31 00:00,,HR__ASOS
LDZA,Zagreb,45.7322,16.0567,107,1996-01-31 00:00,,HR__ASOS
LDZD,Zadar,44.0969,15.3628,84,1996-01-01 00:00,,HR__ASOS
