stid,station_name,lat,lon,elev,begints,endts,iem_network
ETML,Unknown,51.778,11.337,125,2014-11-12 00:00,2021-07-31 00:00,DE__ASOS
ETMN,Nordholz,53.7647,8.6575,31,1946-08-31 00:00,,DE__ASOS
ETND,Diepholz,52.5903,8.3464,43,1973-01-01 00:00,,DE__ASOS
ETNG,Geilenkirchen,50.9638,6.0323,98,1982-06-25 00:00,,DE__ASOS
ETNH,Hohn,54.3128,9.5394,17,1972-12-31 00:00,,DE__ASOS
ETNJ,Jever,53.5322,7.8806,21,1937-01-05 00:00,2013-09-26 00:00,DE__ASOS
ETNL,Laage,53.9182,12.2783,40,1991-12-18 00:00,,DE__ASOS
ETNN,Noervenich,50.8312,6.6582,135,1972-12-31 00:00,,DE__ASOS
ETNS,Schleswig,54.4567,9.5206,25,1942-01-01 00:00,,DE__ASOS
ETNT,Wittmundhafen,53.5478,7.6673,12,1972-12-31 00:00,,DE__ASOS
ETNU,NEUBRANDENBURG,53.6022,13.3061,71,1992-06-30 00:00,2013-09-30 00:00,DE__ASOS
ETNW,Wunstorf,52.4581,9.4283,70,1937-05-07 00:00,,DE__ASOS
ETOR,Coleman,49.5636,8.4634,94,1931-01-01 00:00,2013-01-14 00:00,DE__ASOS
ETOU,Wiesbaden,50.0498,8.3254,141,1938-01-06 00:00,,DE__ASOS
ETSA,Landsberg,48.0767,10.9147,628,1938-01-03 00:00,2018-07-10 00:00,DE__ASOS
ETSB,Buechel,50.1739,7.0633,486,1972-12-31 00:00,,DE__ASOS
ETSE,Erding,48.3223,11.9487,467,1937-09-01 00:00,2015-01-30 00:00,DE__ASOS
ETSH,Holzdorf,51.7667,13.1667,79,1991-10-19 00:00,,DE__ASOS
ETSI,Ingolstadt,48.7157,11.534,370,1939-10-31 00:00,,DE__ASOS
ETSL,Lechfeld,48.1864,10.8506,562,1928-11-14 00:00,,DE__ASOS
ETSN,Neuburg,48.711,11.2115,387,1938-08-04 00:00,,DE__ASOS
ETUO,Guetersloh,51.9297,8.3003,72,1937-05-03 00:00,2013-10-28 00:00,DE__ASOS
ETWM,MEPPEN (MIL),52.7233,7.3264,21,1976-12-01 00:00,,DE__ASOS
