stid,station_name,lat,lon,elev,begints,endts,iem_network
LIQB,Arezzo,43.4597,11.8456,246.83066,1978-09-14 00:00,,IT__ASOS
LIQC,CAPRI ISLAND,40.5582,14.2023,269,1972-12-31 00:00,,IT__ASOS
LIQJ,CIVITAVECCHIA,42.0328,11.8331,4,2005-07-27 00:00,,IT__ASOS
LIQN,RIETI,42.4267,12.85,389,1973-12-13 00:00,,IT__ASOS
LIQO,MOUNT ARGENTARIO,42.3869,11.1697,632,1972-12-31 00:00,,IT__ASOS
LIQW,Sarzana (SP),44.0872,9.985,10,1973-11-08 00:00,,IT__ASOS
LIRA,Rome,41.8078,12.5846,101,1951-09-30 00:00,,IT__ASOS
LIRB,Vigna Di Valle,42.0803,12.2114,258.05386,1973-01-01 00:00,,IT__ASOS
LIRE,Pratica Di Mare,41.6545,12.4452,12,1966-09-23 00:00,,IT__ASOS
LIRF,Rome,41.8003,12.2389,3,1965-06-30 00:00,,IT__ASOS
LIRG,Guidonia,41.9967,12.7344,89,1966-09-23 00:00,,IT__ASOS
LIRH,FROSINONE (IT-AFB),41.645,13.2994,181,1972-12-31 00:00,,IT__ASOS
LIRI,Salerno,40.6204,14.9113,40,1993-01-29 00:00,,IT__ASOS
LIRJ,Marina Di Campo,42.7618,10.2393,397,2010-12-31 00:00,2012-01-20 00:00,IT__ASOS
LIRK,TERMINILLO MOUNTAIN,42.4667,12.9833,1875,1965-01-31 00:00,,IT__ASOS
LIRL,Latina,41.5458,12.9097,26,1944-03-01 00:00,,IT__ASOS
LIRM,Grazzanise,41.0606,14.0789,10,1944-03-31 00:00,,IT__ASOS
LIRN,Naples,40.8848,14.2917,72,1951-09-30 00:00,,IT__ASOS
LIRP,Pisa,43.6825,10.3956,2,1944-11-24 00:00,,IT__ASOS
LIRQ,Florence,43.8086,11.2028,38,1931-01-02 00:00,,IT__ASOS
LIRS,Grosseto,42.7481,11.0589,7,1944-12-11 00:00,,IT__ASOS
LIRT,TREVICO,41.0467,15.2328,1093,1972-12-31 00:00,,IT__ASOS
