stid,station_name,lat,lon,elev,begints,endts,iem_network
LIQN,RIETI,42.4267,12.85,389.0,1973-12-13,2025-02-21,IT__ASOS
LIQO,MOUNT ARGENTARIO,42.3869,11.1697,632.0,1972-12-31,2025-02-21,IT__ASOS
LIQW,Sarzana (SP),44.0872,9.985,10.0,1973-11-08,2025-02-21,IT__ASOS
LIRB,Vigna Di Valle,42.0803,12.2114,258.05386,1973-01-01,2025-02-21,IT__ASOS
LIRK,TERMINILLO MOUNTAIN,42.4667,12.9833,1875.0,1965-01-31,2025-02-21,IT__ASOS
LIRP,Pisa,43.6825,10.3956,2.0,1944-11-24,2025-02-21,IT__ASOS
LIRQ,Florence,43.8086,11.2028,38.0,1931-01-02,2025-02-21,IT__ASOS
LIRS,Grosseto,42.7481,11.0589,7.0,1944-12-11,2025-02-21,IT__ASOS
LIRV,Viterbo,42.4383,12.055,300.0,1944-06-30,2025-02-21,IT__ASOS
LIRX,MONTE CALAMITA,42.73,10.38,297.0,1972-12-31,2025-02-21,IT__ASOS
LIRZ,Perugia,43.0972,12.5103,205.0,1967-11-06,2025-02-21,IT__ASOS
LIVC,CIMONE MOUNTAIN,44.1936,10.7,2173.0,1965-01-31,2025-02-21,IT__ASOS
LIVD,DOBBIACO,46.73,12.22,1226.0,1973-01-01,2025-02-21,IT__ASOS
LIVF,FRONTONE,43.5169,12.7278,574.0,1973-01-01,2025-02-21,IT__ASOS
LIVM,POINT MARINA/RAVENN,44.4414,12.2961,6.0,1966-01-04,2025-02-21,IT__ASOS
LIVO,TARVISIO,46.5056,13.5861,778.0,1965-01-28,2025-02-21,IT__ASOS
LIVP,PAGANELLA MOUNTAIN,46.1434,11.0376,2129.0,1972-12-31,2025-02-21,IT__ASOS
LIVR,ROLLE PASS,46.2978,11.7867,2006.0,1973-01-01,2025-02-21,IT__ASOS
LIVT,TRIESTE,45.6767,13.7538,20.0,1932-10-20,2025-02-21,IT__ASOS
LSGG,Geneva,46.2475,6.1278,416.0,1935-01-01,2025-02-21,CH__ASOS
LSGS,Sion,46.2186,7.3303,481.0,1954-12-31,2025-02-21,CH__ASOS
LSMA,Alpnach,46.9431,8.2858,444.0,1977-12-12,2025-02-21,CH__ASOS
LSZA,Lugano,46.0015,8.9092,276.0,1935-01-01,2025-02-21,CH__ASOS
LSZH,Zurich,47.4784,8.5302,432.0,1954-12-31,2025-02-21,CH__ASOS
LSZL,Locarno,46.1608,8.8786,600.0,1954-12-31,2025-02-21,CH__ASOS
